질문,답변,출처(날짜)
CBAM이 정확히 무엇인가요?,"CBAM은 ""Carbon Border Adjustment Mechanism""의 약자로, 탄소 국경조정제도를 의미합니다. 이는 EU에서 도입된 제도로, 외부에서 수입되는 제품에 대해 내부에서 생산된 제품과 동등한 탄소비용을 지불하도록 하는 추가적인 탄소가격 부과 시스템입니다. 이를 통해 탄소 배출량이 높은 제품에 대한 경쟁력을 강화하고, 기후변화 대응을 촉진하는 것을 목표로 합니다. 현재 CBAM은 EU에서 전환기간에 대비하여 구현되고 있습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
"CBAM은 어떤 국가에서 시행되며, 누구에게 영향을 미치나요?","EU에서 시행되는 CBAM은 유럽연합(EU)에 수입되는 상품에 적용됩니다. CBAM은 주로 시멘트, 철강, 알루미늄, 비료, 수소, 전기와 같은 특정 부문에 적용되며, 이러한 부문이 ETS(온실가스 배출권거래제) 산업 부문의 50% 이상을 차지하고 있습니다. 따라서 CBAM은 이러한 산업 부문에서 생산되는 제품을 수입하는 국가 및 기업에 영향을 미칩니다. 이러한 제도는 탄소 누출을 방지하고 기후 변화 대응 노력을 강화하기 위해 도입되었습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
CBAM과 기존의 탄소세는 어떤 차이가 있나요?,"CBAM과 기존의 탄소세는 목적과 적용 방식에서 차이가 있습니다. 

기존의 탄소세는 국내에서 발생한 온실가스 배출량에 대해 부과되는 세금으로, 국내 기업이 탄소를 줄이는 노력을 격려하고 탄소 배출을 줄이는 것을 목적으로 합니다. 

반면, CBAM은 유럽연합(EU)에 수입되는 상품에 대해 부과되는 탄소비용을 말하며, 외부에서 생산된 상품이 EU 내에서 생산된 상품과 동일한 탄소비용을 부담하도록 하는 제도입니다. 이를 통해 탄소 누출을 방지하고 EU의 탄소중립 목표를 달성하는 것이 주된 목적입니다. 

따라서, 기존의 탄소세는 국내 탄소 배출을 감소시키는 데 초점을 두는 반면, CBAM은 수입된 상품의 탄소비용을 조절하여 국제적인 탄소 누출을 방지하고 기후변화 대응을 강화하는 데 중점을 둔다는 차이가 있습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
왜 우리 회사가 CBAM 대응을 해야 하나요?,"CBAM(탄소국경조정제도)는 유럽연합(EU)에서 도입된 정책으로, 수입되는 상품에 대해 EU 온실가스 배출권거래제(EU ETS) 대상 시설군에서 생산되는 동일 상품이 부담하는 탄소가격과 동일한 비용을 부과하는 제도입니다. 이를 통해 EU의 제조사업장이 탈탄소화 정책이 약한 국가로 생산 기지를 이전하여 발생할 수 있는 탄소누출을 방지하고 기후 목표를 달성하는 것을 목적으로 합니다.

따라서, 우리 회사가 CBAM 대응을 해야 하는 이유는 우리가 수출하는 제품이 EU로 수입되는 경우에 CBAM에 따른 탄소비용 추가 부과를 받을 수 있기 때문입니다. CBAM에 대응하여 탄소배출량을 산정하고 보고하는 것은 우리 기업이 EU 시장에서 경쟁력을 유지하고 불이익을 피하기 위해 중요한 일이 될 것입니다. 따라서 CBAM 대응은 우리 회사의 비즈니스 활동을 지속 가능하게 하기 위해 필요한 조치입니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
CBAM은 어떤 제품군에 우선 적용되나요?,"CBAM은 시멘트, 철강, 알루미늄, 비료, 수소, 전기와 같은 특정 상품군에 우선적으로 적용됩니다. 이러한 상품군은 탄소 누출 위험과 배출 집약도가 높아서 ETS(유럽 배출거래제도)가 적용되는 산업 부문에서 중요한 역할을 합니다. 따라서 CBAM이 이러한 상품군에 우선 적용되는 것은 해당 부문이 ETS 부문 배출량의 50% 이상을 차지하고 있기 때문입니다. 또한, CBAM은 향후 다른 ETS 부문으로도 확대 적용될 수 있습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
CBAM 보고 의무는 수출 기업에게도 있나요?,"CBAM 보고 의무는 주로 CBAM 대상 제품을 수입하여 EU에 판매하는 수입업자에게 부과되지만, 수출 기업도 일부 경우에 CBAM 보고 의무가 있을 수 있습니다. 예를 들어, 수출 기업이 EU 수입업자에게 제품에 대한 정보를 제공해야 하는 경우에는 CBAM 보고 의무가 발생할 수 있습니다. 따라서, 수출 기업이 CBAM 대상 제품을 수출하는 경우에는 해당 의무를 준수해야 합니다. 만약 자세한 내용이 필요하다면 CBAM 관련 가이드라인이나 해설서를 참고하시는 것이 도움이 될 것입니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
제품당 온실가스 배출량이 중요한 이유는 무엇인가요?,"제품당 온실가스 배출량이 중요한 이유는 환경 영향을 평가하고 관리하기 위해서입니다. 온실가스는 지구 온난화를 유발하는 주요 원인 중 하나이며, 온실가스 배출량이 많을수록 지구 온난화의 심각성이 증가하게 됩니다. 따라서 제품당 온실가스 배출량을 파악하고 줄이는 것은 지구 환경을 보호하고 지속 가능한 발전을 위해 중요한 요소입니다. 또한, 제품당 온실가스 배출량을 줄이는 것은 환경 규제를 준수하고 비용 효율적인 생산 방법을 모색하는데에도 도움이 됩니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
EU는 왜 제품 단위로 배출량을 요구하나요?,"EU는 제품 단위로 배출량을 요구하는 이유는 제품의 생산 및 수출 과정에서 발생하는 온실가스 배출량을 효과적으로 추적하고 감시하기 위함입니다. 제품 단위로 배출량을 산정함으로써 각 제품이 환경에 미치는 영향을 정확히 파악하고, 이를 통해 환경 보호 및 탄소 배출 감소에 기여할 수 있습니다. 또한, 이를 통해 제조업체들이 환경 친화적 제품을 개발하고 생산하는 데 도움을 줄 수 있습니다. 따라서 EU는 제품 단위로 배출량을 요구하여 환경 보호 및 탄소 중립화를 촉진하고 있습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
직접배출량(direct emission)은 어떤 배출을 말하나요?,"직접배출량은 우리 기업이 소유 및 관리하는 설비 등에서 발생하는 온실가스 배출을 의미합니다. 이는 생산 과정에서 직접 대기 중으로 배출되는 온실가스를 지칭합니다. 이러한 직접배출은 연료를 연소시키는 과정에서 발생하는 배출(연소배출)과 공정에서 발생하는 배출(공정배출)을 포함하며, 공정배출은 원료물질의 화학적 변형으로 발생하는 배출과 온실가스의 저장, 이송 등에서 발생하는 탈루배출 등을 포함합니다. 이러한 직접배출량은 CBAM(탄소국경조정제도)에서 중요한 요소 중 하나입니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
간접배출량(indirect emission)은 어떤 에너지 사용에서 발생하나요?,"간접배출량은 제품 생산 과정에서 전력 사용에 따른 배출을 의미합니다. 따라서, 에너지 사용이 제품 생산에 관련된 경우에 간접배출량이 발생하게 됩니다. 예를 들어, 태양광 등의 에너지를 사용하여 전력을 생산하고 이를 제품 생산에 사용하는 경우, 이 과정에서 발생하는 배출량이 간접배출량으로 반영됩니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
