질문,답변,출처(날짜)
CBAM이 정확히 무엇인가요?,CBAM은 EU로 수입되는 외국산 제품에 대해 EU 내 생산 시 지불하는 탄소비용과 동일한 탄소가격을 부과하는 제도입니다. 이는 불공정한 경쟁을 방지하고 기후변화 대응을 지원하기 위한 것입니다.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
"CBAM은 어떤 국가에서 시행되며, 누구에게 영향을 미치나요?","CBAM은 유럽연합(EU)에서 시행됩니다. EU로 수입되는 상품에 대해 영향을 미치며, 특히 시멘트, 철강, 알루미늄, 비료, 수소, 전기 등의 수입업자와 관련 산업에 영향을 줍니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
CBAM과 기존의 탄소세는 어떤 차이가 있나요?,해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
왜 우리 회사가 CBAM 대응을 해야 하나요?,"CBAM은 EU로 수출되는 제품의 탄소 배출량에 대해 추가 비용을 부과하는 제도입니다. 이를 통해 EU의 기후 목표를 지원하며, 탄소 누출을 방지합니다. 대응하지 않으면 추가 비용이 발생할 수 있습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
CBAM은 어떤 제품군에 우선 적용되나요?,"CBAM은 시멘트, 철강, 알루미늄, 비료, 수소, 전기 등 상품의 수입에 우선 적용됩니다. 해당 부문은 탄소 누출 위험과 배출 집약도가 높아 선정되었습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
CBAM 보고 의무는 수출 기업에게도 있나요?,해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
제품당 온실가스 배출량이 중요한 이유는 무엇인가요?,"제품당 온실가스 배출량은 환경 영향 평가에 중요합니다. 기업의 지속 가능성 전략 수립에 기여하며, 규제 준수와 관련된 비용을 줄이는 데 도움이 됩니다. 또한, 소비자에게 친환경 제품 선택의 기준을 제공합니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
EU는 왜 제품 단위로 배출량을 요구하나요?,해당 정보는 제가 답변드리기 어려운 내용입니다. CBAM 공식 기관 혹은 시스템 담당자에게 문의해 주세요.,"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
직접배출량(direct emission)은 어떤 배출을 말하나요?,직접배출량은 사업장 내에서 대기 중으로 직접 배출되는 온실가스를 의미합니다. 이는 연료 연소 및 생산 공정에서 발생하는 배출을 포함합니다. (manual 참고),"2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
간접배출량(indirect emission)은 어떤 에너지 사용에서 발생하나요?,"간접배출량은 제품 생산 과정에서 전기 사용에 따른 배출을 의미합니다. 전력 생산 위치와 상관없이, 전력을 소비하는 과정에서 발생하는 온실가스 배출을 포함합니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
