질문,답변,출처(날짜)
CBAM이 정확히 무엇인가요?,"CBAM(탄소국경조정제도)은 EU(유럽연합)로 수입되는 역외 생산 제품에 대해 EU 내에서 생산될 때 지불해야 하는 탄소 비용과 동등하도록 추가적인 탄소 가격을 부과하고 징수하는 제도입니다. 이 제도는 EU의 기후변화 대응 정책을 지지하고, 기후변화 대응이 느슨한 국가로의 생산 이전으로 인해 기후변화 대응 노력이 훼손되지 않도록 하기 위해 도입되었습니다. CBAM은 탄소 배출량을 기준으로 수입품에 대해 조정세를 부과하여, 탄소 누출을 방지하고 EU의 기후 목표를 지원하는 것을 목적으로 합니다. 

이 설명은 CBAM의 개념을 쉽게 풀어 쓴 해설서를 참고한 것입니다. 추가적인 질문이 있으면 언제든지 말씀해 주세요!","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
"CBAM은 어떤 국가에서 시행되며, 누구에게 영향을 미치나요?","CBAM(탄소국경조정제도)은 유럽연합(EU)에서 시행되는 제도입니다. 이 제도는 EU로 수입되는 상품에 대해 적용되며, EU의 온실가스 배출권거래제(EU ETS)와 동일한 탄소 비용을 부과하는 정책 도구입니다. 주로 시멘트, 철강, 알루미늄, 비료, 수소, 전기와 같은 상품에 적용됩니다. 

CBAM은 EU 외부에서 생산된 제품을 EU로 수출하는 기업에 영향을 미치며, 이러한 기업들은 제품 생산 과정에서 발생한 탄소 배출량을 보고해야 합니다. 이를 통해 EU는 자국 내 제조업체들이 탈탄소화 정책이 약한 국가로 생산 기지를 이전함으로써 발생할 수 있는 탄소 누출을 방지하고자 합니다. 

따라서 CBAM은 EU로 수출하는 비EU 국가의 기업과 EU 내 수입업자 모두에게 영향을 미칩니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
CBAM과 기존의 탄소세는 어떤 차이가 있나요?,"CBAM(Carbon Border Adjustment Mechanism)과 기존의 탄소세는 목적과 적용 방식에서 몇 가지 차이가 있습니다.

1. **목적**:
   - **CBAM**: 주로 탄소 누출(Carbon leakage)을 방지하고, EU 내에서 탈탄소화 정책이 약한 국가로의 생산 기지 이전을 막기 위해 도입된 제도입니다. CBAM은 EU로 수입되는 제품에 대해 EU 내에서 동일한 제품이 부담하는 탄소 비용과 동일한 비용을 부과하는 것을 목표로 합니다.
   - **기존의 탄소세**: 일반적으로 국가 내에서 발생하는 온실가스 배출량에 대해 세금을 부과하여 배출을 줄이는 것을 목표로 합니다. 이는 국내 산업 전반에 걸쳐 적용됩니다.

2. **적용 범위**:
   - **CBAM**: 수입되는 특정 상품에 대해 적용되며, EU 내에서 생산될 때의 탄소비용과 동일한 비용을 부과합니다. 이는 주로 수입품에 대한 조정 메커니즘입니다.
   - **기존의 탄소세**: 일반적으로 모든 산업 분야에 걸쳐 국내에서 발생하는 온실가스 배출에 대해 부과됩니다.

3. **운영 방식**:
   - **CBAM**: 수입업자는 수입된 상품의 탄소 배출량을 보고하고, 원산지에서 이미 지불한 탄소가격만큼 CBAM 인증서 수의 차감을 요청할 수 있습니다.
   - **기존의 탄소세**: 배출량에 따라 직접적으로 세금이 부과되며, 주로 국내에서 발생하는 배출에 대해 부과됩니다.

CBAM은 EU의 기후 목표를 달성하기 위한 정책 도구로, 기존의 탄소세와는 다른 국제 무역의 측면에서 접근하는 제도입니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
왜 우리 회사가 CBAM 대응을 해야 하나요?,"CBAM, 즉 탄소국경조정제도는 유럽연합(EU)에서 역내로 수입되는 상품에 대해 EU 내에서 생산되는 동일 상품이 부담하는 탄소비용과 동일한 비용을 부과하기 위한 정책 도구입니다. 이는 EU의 제조업체들이 탈탄소화 정책이 약한 국가로 생산 기지를 이전함으로써 발생할 수 있는 탄소누출을 방지하고, EU의 기후 목표를 달성하기 위한 것입니다.

따라서, 귀사의 제품이 EU로 수출된다면, CBAM에 대응하여 제품 생산과정에서 발생한 탄소 배출량을 산정하고, 이를 EU 수입업자에게 제공해야 합니다. 이는 전환기간 동안의 주요 의무 중 하나이며, 이를 준수하지 않을 경우 과징금이 부과될 수 있습니다. 따라서 CBAM에 대응하는 것은 EU 시장에 접근하기 위해 필수적입니다. 

이와 관련된 자세한 내용은 **EU 탄소국경제도 전환기간 이행 가이드라인**이나 **알기쉽게 풀어쓴 CBAM 해설서**를 참조하시기 바랍니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
CBAM은 어떤 제품군에 우선 적용되나요?,"CBAM은 우선적으로 다음의 제품군에 적용됩니다: 시멘트, 철강, 알루미늄, 비료, 수소, 전기. 이 제품군은 탄소 누출 위험과 배출 집약도가 높아 선정되었으며, CBAM이 완전히 도입될 경우 이들 제품은 ETS(배출권 거래제)가 적용되는 산업 부문 배출량의 50% 이상을 차지하게 될 것입니다. 따라서 CBAM은 향후 다른 ETS 부문으로 확대 적용될 가능성이 있습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
CBAM 보고 의무는 수출 기업에게도 있나요?,"CBAM(탄소국경조정제도) 보고 의무는 주로 EU로 제품을 수입하는 수입업자에게 적용됩니다. 수출 기업이 직접 CBAM 보고 의무를 지는 것은 아니지만, 수출 기업은 EU 수입업자에게 필요한 정보를 제공해야 할 수 있습니다. 예를 들어, 생산공정이나 제품에 대한 주요 정보를 수입업자에게 제공하여 수입업자가 CBAM 보고서를 작성할 수 있도록 도와야 할 수 있습니다. 

따라서, 수출 기업은 자신이 수출하는 제품이 CBAM 대상인지 여부를 확인하고, 필요한 정보를 수입업자에게 적절히 제공하는 것이 중요합니다. 이와 관련된 구체적인 정보는 ""플랫폼 반영 사항 정리 문서""에서 확인할 수 있습니다. 

추가적인 정보가 필요하시다면, 수출을 담당하는 부서나 관련 전문가와 상담하는 것이 좋습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
제품당 온실가스 배출량이 중요한 이유는 무엇인가요?,"제품당 온실가스 배출량이 중요한 이유는 여러 가지가 있습니다. 이 개념은 주로 환경 보호와 관련된 정책 및 규제, 그리고 기업의 지속 가능성 목표와 밀접하게 연결되어 있습니다. 아래는 그 주요 이유입니다:

1. **환경적 영향 관리**: 제품당 온실가스 배출량을 파악함으로써, 각 제품이 환경에 미치는 영향을 구체적으로 이해할 수 있습니다. 이를 통해 기업은 환경에 대한 책임을 다하고, 지구 온난화에 대한 기여를 줄이기 위한 전략을 수립할 수 있습니다.

2. **규제 준수**: 많은 국가 및 지역에서는 온실가스 배출량에 대한 규제를 시행하고 있습니다. 제품당 배출량을 정확히 계산하고 보고하는 것은 이러한 규제를 준수하는 데 필수적입니다. 특히 EU의 CBAM(탄소국경조정제도)과 같은 제도는 제품의 탄소 발자국을 기반으로 세금을 부과하므로, 정확한 배출량 산정이 중요합니다.

3. **비용 절감**: 배출량을 관리하고 줄이는 것은 에너지 효율성을 높이고, 원자재 사용을 최적화하는 데 기여할 수 있습니다. 이는 결국 비용 절감으로 이어질 수 있습니다.

4. **브랜드 이미지 및 경쟁력 강화**: 소비자들은 점점 더 환경 친화적인 제품을 선호하고 있습니다. 제품당 온실가스 배출량을 줄이고 이를 투명하게 공개하는 기업은 지속 가능성을 중시하는 소비자들 사이에서 긍정적인 브랜드 이미지를 구축할 수 있습니다.

5. **투자 유치**: 많은 투자자들이 환경, 사회, 지배구조(ESG) 기준을 고려하여 투자를 결정합니다. 온실가스 배출량을 관리하고 줄이는 기업은 이러한 투자자들에게 더욱 매력적일 수 있습니다.

이와 같은 이유로, 제품당 온실가스 배출량을 정확히 산정하고 관리하는 것은 기업의 지속 가능성 전략의 핵심 요소 중 하나입니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
EU는 왜 제품 단위로 배출량을 요구하나요?,"EU가 제품 단위로 배출량을 요구하는 이유는 CBAM(탄소국경조정제도)의 목적과 관련이 있습니다. CBAM은 수입 제품의 탄소 배출량을 평가하여, 유럽 내에서 생산되는 제품과 수입 제품 간의 공정한 경쟁을 보장하고, 전 세계적으로 탄소 배출을 줄이기 위한 것입니다.

제품 단위로 배출량을 산정하는 것은 다음과 같은 이유에서 중요합니다:

1. **정확한 배출량 평가**: 제품 단위로 배출량을 산정하면 각 제품이 생산 과정에서 실제로 발생시키는 온실가스의 양을 정확히 파악할 수 있습니다. 이는 수입 제품이 EU 내 제품과 동일한 기준으로 평가받도록 합니다.

2. **공정한 경쟁 환경 조성**: 제품 단위로 배출량을 요구함으로써, EU는 자국 내 생산자와 수입자 간의 공정한 경쟁을 촉진합니다. 이는 수입 제품이 동일한 환경적 책임을 지도록 하여, 탄소 배출이 적은 제품이 시장에서 더 경쟁력을 갖도록 합니다.

3. **환경적 책임 강화**: 제품 단위로 배출량을 요구함으로써, 기업들은 생산 과정에서의 배출량을 줄이기 위한 노력을 강화하게 됩니다. 이는 글로벌 차원에서 온실가스 배출 감소에 기여합니다.

이러한 이유들로 인해 EU는 CBAM 제도 하에서 제품 단위로 배출량을 요구하고 있습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
직접배출량(direct emission)은 어떤 배출을 말하나요?,"직접배출량(direct emission)은 일반적으로 사업장 내에서 대기 중으로 직접 배출되는 온실가스를 의미합니다. CBAM의 맥락에서 직접배출은 다음과 같은 경우를 포함합니다:

1. **연료 연소에 따른 배출(연소배출)**: 생산공정에서 연료를 연소시켜 발생하는 배출입니다.
2. **공정 배출**: 연료 연소 외에 공정 자체에서 발생하는 배출로, 이는 원료물질의 화학적 변형이나 온실가스의 저장, 이송 등에서 발생하는 탈루배출을 포함합니다.

따라서, 직접배출량은 기업이 소유하거나 관리하는 설비에서 직접적으로 발생하는 온실가스 배출을 포괄합니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
간접배출량(indirect emission)은 어떤 에너지 사용에서 발생하나요?,"간접배출량(indirect emissions)은 제품 생산 과정에서 소비되는 전력 사용에 따라 발생합니다. 이는 전력 생산 위치와는 상관없이, 제품 생산을 위해 사용된 전력으로 인해 발생하는 배출량을 의미합니다. 예를 들어, 우리 기업이 전기를 소비하는 활동에서는 직접적으로 온실가스가 발생하지 않지만, 그 전기를 생산하는 과정에서 화석연료 사용 등으로 온실가스가 배출되므로, 이러한 소비 활동에 의해 간접적으로 온실가스가 발생하게 됩니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
